Event	ID	Name			Wwise Object Path	Notes
	532981842	Play_SFX_Ambiences_CityTrafficExterior			\Default Work Unit\Play_SFX_Ambiences_CityTrafficExterior	
	565574810	Stop_Vibration_BLEND			\Default Work Unit\Stop_Vibration_BLEND	
	721723355	Play_Drop_Objet_SWITCH			\Default Work Unit\Play_Drop_Objet_SWITCH	
	902373862	Play_Essorage_RND			\Default Work Unit\Play_Essorage_RND	
	1026313801	Play_Blood_Splash_RND			\Default Work Unit\Play_Blood_Splash_RND	
	1119481481	Play_Grab_Object_SWITCH			\Default Work Unit\Play_Grab_Object_SWITCH	
	1122701954	Play_SFX_Event_PoliceStreetArriving			\Default Work Unit\Play_SFX_Event_PoliceStreetArriving	
	1887831868	Play_SFX_Ambiences_InteriorHouse			\Default Work Unit\Play_SFX_Ambiences_InteriorHouse	
	2838179778	Play_Footsteps_SWITCH			\Default Work Unit\Character\Play_Footsteps_SWITCH	
	2948361678	Play_Breath_State_BLEND			\Default Work Unit\Character\Play_Breath_State_BLEND	
	3341621984	Play_Vibration_BLEND			\Default Work Unit\Play_Vibration_BLEND	

Switch Group	ID	Name			Wwise Object Path	Notes
	3539622648	Ground_Material			\Default Work Unit\Ground_Material	
	4083796540	Object_Material			\Default Work Unit\Object_Material	

Switch	ID	Name	Switch Group			Notes
	1791601991	Parquet	Ground_Material			
	2412606308	Carpet	Ground_Material			
	1165214467	Sponge	Object_Material			
	2473969246	Metal	Object_Material			
	3020931316	Porcelain	Object_Material			

Game Parameter	ID	Name			Wwise Object Path	Notes
	1552025288	DistanceToRightPlace			\Default Work Unit\DistanceToRightPlace	
	3920142940	Timer			\Default Work Unit\Timer	

Effect plug-ins	ID	Name	Type				Notes
	176439046	Caught_in_a_loop	Wwise Stereo Delay			
	2513915904	Hall_Large	Wwise RoomVerb			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	106711193	SFX_Footsteps_Parquetv2_01	D:\GIT REPOSITORIES\Global Game Jam\Game Jam 2020\GGJ2020\GGJ2020_WwiseProject\.cache\Windows\SFX\SFX_Footsteps_Parquetv2_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Character\Footsteps_SWITCH\Fttps_Parquet_RND\SFX_Footsteps_Parquetv2_01		68924
	109690392	SFX_Foleysteps_01	D:\GIT REPOSITORIES\Global Game Jam\Game Jam 2020\GGJ2020\GGJ2020_WwiseProject\.cache\Windows\SFX\SFX_Foleysteps_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Character\Foleysteps_RND\SFX_Foleysteps_01		62024
	258984453	SFX_Craquement_03	D:\GIT REPOSITORIES\Global Game Jam\Game Jam 2020\GGJ2020\GGJ2020_WwiseProject\.cache\Windows\SFX\SFX_Craquement_03_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\House\Craquements_Steps_RND\SFX_Craquement_03		86862
	294064250	SFX_Grab_ObjectMetal	D:\GIT REPOSITORIES\Global Game Jam\Game Jam 2020\GGJ2020\GGJ2020_WwiseProject\.cache\Windows\SFX\SFX_Grab_ObjectMetal_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Objects\Grab_Object_SWITCH\SFX_Grab_ObjectMetal		56800
	328765238	SFX_Grab_ObjectPorcelain	D:\GIT REPOSITORIES\Global Game Jam\Game Jam 2020\GGJ2020\GGJ2020_WwiseProject\.cache\Windows\SFX\SFX_Grab_ObjectPorcelain_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Objects\Grab_Object_SWITCH\SFX_Grab_ObjectPorcelain		44548
	337296142	SFX_Vibration_HighSynth_Loop	D:\GIT REPOSITORIES\Global Game Jam\Game Jam 2020\GGJ2020\GGJ2020_WwiseProject\.cache\Windows\SFX\SFX_Vibration_HighSynth_Loop_D79FB2B7.wem		\Actor-Mixer Hierarchy\Default Work Unit\Objects\Vibration_BLEND\SFX_Vibration_HighSynth_Loop		577352
